Series,Date,Gain,news,Volume
1,1982-08-24,0.0,,155769600
1,1982-08-25,0.0,,357078400
1,1982-08-26,0.0,,210582400
1,1982-08-27,-0.000558,,98649600
1,1982-08-30,0.0,,80438400
1,1982-08-31,0.0,,140560000
1,1982-09-01,-0.000558,,82566400
1,1982-09-02,0.0,,75420800
1,1982-09-03,0.0,,104540800
1,1982-09-07,-0.000558,,81379200
1,1982-09-08,0.0,,72329600
1,1982-09-09,-0.000558,,63593600
1,1982-09-10,0.0,,56067200
1,1982-09-13,0.0,,58889600
1,1982-09-14,0.0,,101494400
1,1982-09-15,-0.000558,,71747200
1,1982-09-16,-0.001116,,80371200
1,1982-09-17,-0.0005579999999999,,54051200
1,1982-09-20,0.0,,39132800
1,1982-09-21,0.0,,36668800
1,1982-09-22,0.0,,103376000
1,1982-09-23,0.0,,139820800
1,1982-09-24,-0.000558,,178192000
1,1982-09-27,0.0,,38147200
1,1982-09-28,0.0,,85523200
1,1982-09-29,0.0,,65564800
1,1982-09-30,-0.000558,,74681600
1,1982-10-01,0.0,,46256000
1,1982-10-04,0.001116,,69328000
1,1982-10-05,0.000558,,80236800
1,1982-10-06,0.0061389999999999,,173532800
1,1982-10-07,0.006696,,311673600
1,1982-10-08,0.0072549999999999,,275542400
1,1982-10-11,0.0022319999999999,,313734400
1,1982-10-12,-0.003348,,258944000
1,1982-10-13,0.001116,,198844800
1,1982-10-14,0.0005579999999999,,178662400
1,1982-10-15,-0.0022319999999999,,144614400
1,1982-10-18,0.0022319999999999,,94348800
1,1982-10-19,0.0022319999999999,,122841600
1,1982-10-20,0.006138,,242099200
1,1982-10-21,0.0027899999999999,,227516800
1,1982-10-22,-0.0005579999999999,,161683200
1,1982-10-25,-0.006696,,184934400
1,1982-10-26,0.000558,,167753600
1,1982-10-27,0.00279,,191161600
1,1982-10-28,0.0,,217683200
1,1982-10-29,0.001116,,118115200
1,1982-11-01,0.0061389999999999,,104361600
1,1982-11-02,0.0072539999999999,,310844800
1,1982-11-03,0.009487,,235132800
1,1982-11-04,0.0011159999999999,,329078400
1,1982-11-05,-0.00279,,141500800
1,1982-11-08,-0.005581,,119190400
1,1982-11-09,0.0044649999999999,,179782400
1,1982-11-10,0.0044639999999999,,202787200
1,1982-11-11,0.008928,,123155200
1,1982-11-12,-0.00279,,131107200
1,1982-11-15,-0.0033479999999999,,124588800
1,1982-11-16,-0.007254,,182022400
1,1982-11-17,0.006138,,144144000
1,1982-11-18,0.0,,152678400
1,1982-11-19,-0.0022319999999999,,97305600
1,1982-11-22,-0.012277,,101248000
1,1982-11-23,0.0016739999999999,,88502400
1,1982-11-24,0.00279,,73740800
1,1982-11-26,-0.002232,,101987200
1,1982-11-29,-0.000558,,49952000
1,1982-11-30,0.013393,,159196800
1,1982-12-01,0.0027899999999999,,206841600
1,1982-12-02,0.0,,164729600
1,1982-12-03,-0.0016739999999999,,47577600
1,1982-12-06,0.0078129999999999,,146585600
1,1982-12-07,0.001674,,167283200
1,1982-12-08,-0.0033489999999999,,112313600
1,1982-12-09,-0.0050219999999999,,194656000
1,1982-12-10,-0.0078129999999999,,167484800
1,1982-12-13,-0.001674,,95379200
1,1982-12-14,-0.0011159999999999,,270054400
1,1982-12-15,-0.000558,,130793600
1,1982-12-16,0.0022319999999999,,141164800
1,1982-12-17,0.006139,,80729600
1,1982-12-20,-0.000558,,69776000
1,1982-12-21,0.001116,,79945600
1,1982-12-22,0.0033479999999999,,101225600
1,1982-12-23,0.003906,,86979200
1,1982-12-27,0.0033479999999999,,61868800
1,1982-12-28,-0.001116,,113366400
1,1982-12-29,-0.0050219999999999,,80707200
1,1982-12-30,-0.006138,,156867200
1,1982-12-31,-0.000558,,49660800
1,1983-01-03,-0.0061389999999999,,112828800
1,1983-01-04,0.0072549999999999,,223708800
1,1983-01-05,0.000558,,141545600
1,1983-01-06,-0.005023,,97798400
1,1983-01-07,-0.0072539999999999,,172054400
1,1983-01-10,0.0055799999999999,,275340800
1,1983-01-11,0.001674,,1388800
1,1983-01-12,0.005581,,176982400
1,1983-01-13,0.0,,82275200
1,1983-01-14,0.0094859999999999,,184643200
1,1983-01-17,0.005023,,234864000
1,1983-01-18,-0.003348,,219788800
1,1983-01-19,0.001116,,169657600
1,1983-01-20,0.016741,,707840000
1,1983-01-21,0.0,,402595200
1,1983-01-24,-0.0094869999999999,,315414400
1,1983-01-25,0.006138,,167036800
1,1983-01-26,0.0050219999999999,,203212800
1,1983-01-27,0.011719,,104316800
1,1983-01-28,0.001116,,397734400
1,1983-01-31,-0.000558,,188003200
1,1983-02-01,0.0039059999999999,,210963200
1,1983-02-02,0.0050219999999999,,267052800
1,1983-02-03,0.007813,,252537600
1,1983-02-04,-0.00279,,214345600
1,1983-02-07,-0.0078129999999999,,142912000
1,1983-02-08,-0.001674,,168112000
1,1983-02-09,0.001674,,180812800
1,1983-02-10,0.0122769999999999,,236723200
1,1983-02-11,0.0050219999999999,,203548800
1,1983-02-14,-0.001116,,126179200
1,1983-02-15,-0.0039059999999999,,115180800
1,1983-02-16,-0.0039059999999999,,116569600
1,1983-02-17,-0.002232,,136169600
1,1983-02-18,0.006138,,114889600
1,1983-02-22,0.0039059999999999,,196784000
1,1983-02-23,0.001674,,108035200
1,1983-02-24,0.003906,,115494400
1,1983-02-25,-0.006139,,114688000
1,1983-02-28,-0.0050219999999999,,132294400
1,1983-03-01,0.0033479999999999,,140268800
1,1983-03-02,0.001674,,105952000
1,1983-03-03,-0.006696,,131532800
1,1983-03-04,-0.0027899999999999,,151804800
1,1983-03-07,-0.003906,,152678400
1,1983-03-08,-0.0050219999999999,,220640000
1,1983-03-09,0.00558,,199337600
1,1983-03-10,-0.00279,,112604800
1,1983-03-11,-0.0027899999999999,,87763200
1,1983-03-14,-0.0039059999999999,,171875200
1,1983-03-15,0.0027899999999999,,75062400
1,1983-03-16,0.0,,110969600
1,1983-03-17,0.001674,,44150400
1,1983-03-18,0.0027899999999999,,86128000
1,1983-03-21,0.0044649999999999,,104025600
1,1983-03-22,0.002232,,101001600
1,1983-03-23,-0.0094869999999999,,140761600
1,1983-03-24,0.0033479999999999,,102457600
1,1983-03-25,0.0,,58060800
1,1983-03-28,-0.0022319999999999,,74569600
1,1983-03-29,0.005023,,103734400
1,1983-03-30,0.002232,,87808000
1,1983-03-31,-0.0089289999999999,,85142400
1,1983-04-04,-0.0050219999999999,,127388800
1,1983-04-05,-0.003348,,122102400
1,1983-04-06,-0.0016749999999999,,213987200
1,1983-04-07,-0.001674,,145510400
1,1983-04-08,-0.001116,,150259200
1,1983-04-11,0.0100449999999999,,230473600
1,1983-04-12,0.003906,,174048000
1,1983-04-13,0.0066969999999999,,189772800
1,1983-04-14,0.0044639999999999,,136371200
1,1983-04-15,0.003348,,115001600
1,1983-04-18,0.0044639999999999,,155568000
1,1983-04-19,-0.002232,,233878400
1,1983-04-20,0.018415,,288332800
